Municipio,NUTS I,NUTS II,NUTS III,mes,ano,nr_dormidas
Alandroal,Continente,Alentejo,Alentejo Central,Julho,2023,1922
Alandroal,Continente,Alentejo,Alentejo Central,Agosto,2023,3414
Alandroal,Continente,Alentejo,Alentejo Central,Setembro,2023,1784
Alandroal,Continente,Alentejo,Alentejo Central,Outubro,2023,1269
Alandroal,Continente,Alentejo,Alentejo Central,Novembro,2023,925
Alandroal,Continente,Alentejo,Alentejo Central,Dezembro,2023,857
Alandroal,Continente,Alentejo,Alentejo Central,Janeiro,2024,386
Alandroal,Continente,Alentejo,Alentejo Central,Fevereiro,2024,622
Alandroal,Continente,Alentejo,Alentejo Central,Março,2024,871
Alandroal,Continente,Alentejo,Alentejo Central,Abril,2024,988
Alandroal,Continente,Alentejo,Alentejo Central,Maio,2024,1514
Alandroal,Continente,Alentejo,Alentejo Central,Junho,2024,1904
Alandroal,Continente,Alentejo,Alentejo Central,Julho,2024,2321
Alandroal,Continente,Alentejo,Alentejo Central,Agosto,2024,4007
Alandroal,Continente,Alentejo,Alentejo Central,Setembro,2024,2427
Alandroal,Continente,Alentejo,Alentejo Central,Outubro,2024,1514
Alandroal,Continente,Alentejo,Alentejo Central,Novembro,2024,891
Alandroal,Continente,Alentejo,Alentejo Central,Dezembro,2024,885
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2014,398
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2014,460
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2014,747
Arraiolos,Continente,Alentejo,Alentejo Central,Abril,2014,1123
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2014,1166
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2014,1132
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2014,1410
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2014,2514
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2014,1443
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2014,1030
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2014,695
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2014,783
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2015,479
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2015,603
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2015,844
Arraiolos,Continente,Alentejo,Alentejo Central,Abril,2015,1079
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2015,1350
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2015,1341
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2015,1733
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2015,2962
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2015,1677
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2015,1141
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2015,805
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2015,898
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2016,522
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2016,697
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2016,1047
Arraiolos,Continente,Alentejo,Alentejo Central,Abril,2016,1140
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2016,1321
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2016,1583
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2016,1969
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2016,3150
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2016,1930
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2016,1353
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2016,829
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2016,965
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2017,582
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2017,752
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2017,880
Arraiolos,Continente,Alentejo,Alentejo Central,Abril,2017,1619
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2017,1543
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2017,1824
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2017,2349
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2017,3571
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2017,2225
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2017,1633
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2017,1030
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2017,1266
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2018,668
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2018,860
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2018,1183
Arraiolos,Continente,Alentejo,Alentejo Central,Abril,2018,1391
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2018,1883
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2018,1941
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2018,2465
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2018,3693
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2018,2359
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2018,1776
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2018,1203
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2018,1295
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2019,802
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2019,877
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2019,1252
Arraiolos,Continente,Alentejo,Alentejo Central,Abril,2019,1796
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2019,2039
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2019,2246
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2019,2618
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2019,4008
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2019,2541
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2019,1836
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2019,1382
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2019,1327
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2020,1109
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2020,1728
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2020,239
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2020,190
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2020,458
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2020,2214
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2020,3209
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2020,1849
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2020,1365
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2020,513
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2020,1293
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2021,134
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2021,50
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2021,154
Arraiolos,Continente,Alentejo,Alentejo Central,Abril,2021,302
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2021,1485
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2021,2000
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2021,2255
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2021,3526
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2021,2204
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2021,2044
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2021,1207
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2021,1019
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2022,974
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2022,1028
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2022,1166
Arraiolos,Continente,Alentejo,Alentejo Central,Abril,2022,2333
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2022,2238
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2022,2524
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2022,2545
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2022,4245
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2022,2596
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2022,2074
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2022,1294
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2022,1459
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2023,931
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2023,1270
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2023,1563
Arraiolos,Continente,Alentejo,Alentejo Central,Abril,2023,1956
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2023,2103
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2023,2223
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2023,2864
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2023,4296
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2023,2751
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2023,2221
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2023,1593
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2023,1996
Arraiolos,Continente,Alentejo,Alentejo Central,Janeiro,2024,640
Arraiolos,Continente,Alentejo,Alentejo Central,Fevereiro,2024,1469
Arraiolos,Continente,Alentejo,Alentejo Central,Março,2024,1983
Arraiolos,Continente,Alentejo,Alentejo Central,Abril,2024,2195
Arraiolos,Continente,Alentejo,Alentejo Central,Maio,2024,2320
Arraiolos,Continente,Alentejo,Alentejo Central,Junho,2024,2551
Arraiolos,Continente,Alentejo,Alentejo Central,Julho,2024,3087
Arraiolos,Continente,Alentejo,Alentejo Central,Agosto,2024,4939
Arraiolos,Continente,Alentejo,Alentejo Central,Setembro,2024,3244
Arraiolos,Continente,Alentejo,Alentejo Central,Outubro,2024,2139
Arraiolos,Continente,Alentejo,Alentejo Central,Novembro,2024,1774
Arraiolos,Continente,Alentejo,Alentejo Central,Dezembro,2024,1425
Borba,Continente,Alentejo,Alentejo Central,Janeiro,2014,76
Borba,Continente,Alentejo,Alentejo Central,Fevereiro,2014,30
Borba,Continente,Alentejo,Alentejo Central,Março,2014,62
Borba,Continente,Alentejo,Alentejo Central,Abril,2014,88
Borba,Continente,Alentejo,Alentejo Central,Maio,2014,76
Borba,Continente,Alentejo,Alentejo Central,Junho,2014,90
Borba,Continente,Alentejo,Alentejo Central,Julho,2014,164
Borba,Continente,Alentejo,Alentejo Central,Agosto,2014,228
Borba,Continente,Alentejo,Alentejo Central,Setembro,2014,150
Borba,Continente,Alentejo,Alentejo Central,Outubro,2014,108
Borba,Continente,Alentejo,Alentejo Central,Novembro,2014,106
Borba,Continente,Alentejo,Alentejo Central,Dezembro,2014,88
Borba,Continente,Alentejo,Alentejo Central,Janeiro,2015,92
Borba,Continente,Alentejo,Alentejo Central,Fevereiro,2015,40
Borba,Continente,Alentejo,Alentejo Central,Março,2015,70
Borba,Continente,Alentejo,Alentejo Central,Abril,2015,84
Borba,Continente,Alentejo,Alentejo Central,Maio,2015,89
Borba,Continente,Alentejo,Alentejo Central,Junho,2015,107
Borba,Continente,Alentejo,Alentejo Central,Julho,2015,202
Borba,Continente,Alentejo,Alentejo Central,Agosto,2015,269
Borba,Continente,Alentejo,Alentejo Central,Setembro,2015,174
Borba,Continente,Alentejo,Alentejo Central,Outubro,2015,120
Borba,Continente,Alentejo,Alentejo Central,Novembro,2015,124
Borba,Continente,Alentejo,Alentejo Central,Dezembro,2015,101
Borba,Continente,Alentejo,Alentejo Central,Janeiro,2016,100
Borba,Continente,Alentejo,Alentejo Central,Fevereiro,2016,46
Borba,Continente,Alentejo,Alentejo Central,Março,2016,87
Borba,Continente,Alentejo,Alentejo Central,Abril,2016,89
Borba,Continente,Alentejo,Alentejo Central,Maio,2016,87
Borba,Continente,Alentejo,Alentejo Central,Junho,2016,127
Borba,Continente,Alentejo,Alentejo Central,Julho,2016,229
Borba,Continente,Alentejo,Alentejo Central,Agosto,2016,286
Borba,Continente,Alentejo,Alentejo Central,Setembro,2016,200
Borba,Continente,Alentejo,Alentejo Central,Outubro,2016,142
Borba,Continente,Alentejo,Alentejo Central,Novembro,2016,127
Borba,Continente,Alentejo,Alentejo Central,Dezembro,2016,108
Borba,Continente,Alentejo,Alentejo Central,Janeiro,2017,112
Borba,Continente,Alentejo,Alentejo Central,Fevereiro,2017,49
Borba,Continente,Alentejo,Alentejo Central,Março,2017,73
Borba,Continente,Alentejo,Alentejo Central,Abril,2017,127
Borba,Continente,Alentejo,Alentejo Central,Maio,2017,101
Borba,Continente,Alentejo,Alentejo Central,Junho,2017,146
