regiao_codigo,regiao_nome,dormidas,ano,origem
,16J0902: Almeida,15698.0,2024,Total
,16J0501: Belmonte,29526.0,2024,Total
,16J0903: Celorico da Beira,33086.0,2024,Total
,16J0503: Covilhã,339660.0,2024,Total
,16J0904: Figueira de Castelo Rodrigo,9494.0,2024,Total
,16J0905: Fornos de Algodres,27100.0,2024,Total
,16J0504: Fundão,165746.0,2024,Total
,16J0906: Gouveia,28392.0,2024,Total
,16J0907: Guarda,97185.0,2024,Total
,16J0908: Manteigas,72454.0,2024,Total
,16J0909: Mêda,23967.0,2024,Total
,16J0910: Pinhel,5421.0,2024,Total
,16J0911: Sabugal,25023.0,2024,Total
,16J0912: Seia,112614.0,2024,Total
,16J0913: Trancoso,15418.0,2024,Total
17,Área Metropolitana de Lisboa,21024514.0,2024,Total
170,Área Metropolitana de Lisboa,21024514.0,2024,Total
1701502,Alcochete,72464.0,2024,Total
1701503,Almada,490333.0,2024,Total
1701115,Amadora,137973.0,2024,Total
1701504,Barreiro,14673.0,2024,Total
1701105,Cascais,1605069.0,2024,Total
1701106,Lisboa,15740364.0,2024,Total
1701107,Loures,297360.0,2024,Total
1701109,Mafra,355448.0,2024,Total
1701506,Moita,855.0,2024,Total
1701507,Montijo,183090.0,2024,Total
1701116,Odivelas,6687.0,2024,Total
1701110,Oeiras,514729.0,2024,Total
1701508,Palmela,57440.0,2024,Total
1701510,Seixal,67863.0,2024,Total
1701511,Sesimbra,266343.0,2024,Total
1701512,Setúbal,411001.0,2024,Total
1701111,Sintra,735048.0,2024,Total
1701114,Vila Franca de Xira,67774.0,2024,Total
18,Alentejo,3539171.0,2024,Total
181,Alentejo Litoral,1240542.0,2024,Total
1811501,Alcácer do Sal,87846.0,2024,Total
1811505,Grândola,461832.0,2024,Total
1810211,Odemira,365821.0,2024,Total
1811509,Santiago do Cacém,162447.0,2024,Total
1811513,Sines,162596.0,2024,Total
184,Baixo Alentejo,472961.0,2024,Total
1840201,Aljustrel,12734.0,2024,Total
1840202,Almodôvar,25267.0,2024,Total
1840203,Alvito,8107.0,2024,Total
1840204,Barrancos,2487.0,2024,Total
1840205,Beja,212554.0,2024,Total
1840206,Castro Verde,22776.0,2024,Total
1840207,Cuba,7678.0,2024,Total
1840208,Ferreira do Alentejo,27472.0,2024,Total
1840209,Mértola,56165.0,2024,Total
1840210,Moura,30813.0,2024,Total
1840212,Ourique,13901.0,2024,Total
1840213,Serpa,33229.0,2024,Total
1840214,Vidigueira,19778.0,2024,Total
185,Lezíria do Tejo,282129.0,2024,Total
1851403,Almeirim,29217.0,2024,Total
1851404,Alpiarça,2356.0,2024,Total
1851103,Azambuja,15840.0,2024,Total
1851405,Benavente,29565.0,2024,Total
1851406,Cartaxo,13326.0,2024,Total
1851407,Chamusca,3759.0,2024,Total
1851409,Coruche,18104.0,2024,Total
1851412,Golegã,14850.0,2024,Total
